Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93808	1	OK	0.6958104	-0.1561131	-0.6922377	-0.1108312	35.683	205.618	-165.979	0.0607790	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93808	1	OK	0.5885141	0.3684989	-0.5850648	0.4189975	36.025	179.845	-164.909	0.0323505	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93816	1	OK	0.6958374	-0.1560729	-0.6922158	-0.1108546	35.681	205.622	-165.975	0.0605125	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93816	1	OK	0.5885146	0.3684989	-0.5850272	0.4190492	36.024	179.840	-164.911	0.0324223	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93824	1	OK	0.6958182	-0.1560237	-0.6922403	-0.1108923	35.686	205.626	-165.972	0.0605834	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93824	1	OK	0.5884782	0.3685572	-0.5849852	0.4191078	36.022	179.839	-164.912	0.0321619	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93832	1	OK	0.6958241	-0.1559663	-0.6922440	-0.1109128	35.686	205.628	-165.968	0.0599966	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93832	1	OK	0.5885043	0.3684996	-0.5850145	0.4190809	36.024	179.836	-164.908	0.0321773	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93840	1	OK	0.6958374	-0.1560047	-0.6922226	-0.1109084	35.683	205.624	-165.968	0.0597737	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93840	1	OK	0.5885199	0.3685059	-0.5850323	0.4190284	36.023	179.839	-164.898	0.0326840	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93848	1	OK	0.6958461	-0.1560253	-0.6922189	-0.1108482	35.680	205.622	-165.973	0.0601672	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93848	1	OK	0.5885275	0.3685184	-0.5850067	0.4190427	36.020	179.837	-164.896	0.0328430	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93856	1	OK	0.6958452	-0.1560606	-0.6922096	-0.1108621	35.680	205.622	-165.979	0.0603293	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93856	1	OK	0.5885122	0.3685237	-0.5850194	0.4190416	36.021	179.838	-164.899	0.0327249	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93864	1	OK	0.6958378	-0.1560609	-0.6922035	-0.1109466	35.683	205.622	-165.969	0.0594902	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93864	1	OK	0.5885361	0.3685160	-0.5850622	0.4189552	36.020	179.842	-164.895	0.0323073	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93872	1	OK	0.6958378	-0.1560697	-0.6921957	-0.1109826	35.682	205.626	-165.976	0.0599759	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93872	1	OK	0.5885564	0.3684723	-0.5851159	0.4188901	36.022	179.845	-164.893	0.0324366	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	93880	1	OK	0.6958223	-0.1560793	-0.6922151	-0.1109454	35.683	205.622	-165.979	0.0593998	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	93880	1	OK	0.5885714	0.3684660	-0.5851278	0.4188580	36.021	179.847	-164.890	0.0324160	0
