Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9600	1	OK	0.6951122	-0.5923823	-0.3989448	-0.0821301	-86.007	72.870	-247.433	0.1327627	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9600	1	OK	0.8990497	0.0658727	-0.3592762	0.2414352	-95.240	56.755	-230.244	0.0645700	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9608	1	OK	0.6950930	-0.5924138	-0.3989319	-0.0821280	-86.011	72.873	-247.432	0.1332991	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9608	1	OK	0.8990381	0.0657880	-0.3593362	0.2414124	-95.234	56.752	-230.247	0.0652581	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9616	1	OK	0.6951402	-0.5923727	-0.3989083	-0.0821394	-86.010	72.878	-247.432	0.1324043	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9616	1	OK	0.8990472	0.0658519	-0.3592796	0.2414451	-95.241	56.753	-230.245	0.0647817	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9624	1	OK	0.6951408	-0.5923657	-0.3989133	-0.0821605	-86.008	72.881	-247.433	0.1321192	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9624	1	OK	0.8990493	0.0658491	-0.3592859	0.2414288	-95.242	56.755	-230.244	0.0652163	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9632	1	OK	0.6951062	-0.5924103	-0.3989080	-0.0821573	-86.010	72.876	-247.430	0.1321765	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9632	1	OK	0.8990479	0.0658231	-0.3593141	0.2413992	-95.239	56.757	-230.248	0.0657334	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9640	1	OK	0.6951503	-0.5923674	-0.3988957	-0.0821523	-86.009	72.880	-247.422	0.1316820	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9640	1	OK	0.8990437	0.0656668	-0.3594139	0.2413088	-95.230	56.758	-230.251	0.0669346	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9648	1	OK	0.6951299	-0.5924057	-0.3988799	-0.0821263	-86.017	72.883	-247.417	0.1318279	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9648	1	OK	0.8990312	0.0656600	-0.3594377	0.2413218	-95.226	56.757	-230.249	0.0671598	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9656	1	OK	0.6951344	-0.5924019	-0.3988755	-0.0821371	-86.018	72.885	-247.417	0.1320188	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9656	1	OK	0.8990306	0.0656656	-0.3594368	0.2413236	-95.225	56.757	-230.250	0.0673127	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9664	1	OK	0.6951885	-0.5923744	-0.3988274	-0.0821110	-86.025	72.887	-247.413	0.1319077	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9664	1	OK	0.8990291	0.0656484	-0.3594576	0.2413030	-95.224	56.761	-230.252	0.0676810	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9672	1	OK	0.6951355	-0.5924442	-0.3988178	-0.0821030	-86.027	72.882	-247.410	0.1317792	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9672	1	OK	0.8990374	0.0656255	-0.3594297	0.2413200	-95.228	56.756	-230.250	0.0675092	0
