Tools	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554728	1	OK	0.0510967	-0.4816220	-0.8733574	-0.0517332	18.167	12.682	-446.290	0.0293157	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554736	1	OK	0.0469545	-0.4811625	-0.8734383	-0.0581683	22.383	15.212	-445.835	0.0668723	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554744	1	OK	0.0426664	-0.4799846	-0.8737786	-0.0656142	26.481	17.461	-445.008	0.0547719	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554752	1	OK	0.0388182	-0.4796352	-0.8735426	-0.0732563	30.415	20.095	-444.971	0.0497494	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554760	1	OK	0.0340781	-0.4784767	-0.8737407	-0.0804728	35.544	22.740	-444.899	0.1249131	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554768	1	OK	0.0283679	-0.4773464	-0.8734081	-0.0921626	39.640	25.686	-443.919	0.0285123	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554776	1	OK	0.0246804	-0.4761780	-0.8732028	-0.1008076	44.050	29.097	-443.013	0.0331724	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554784	1	OK	0.0205008	-0.4750952	-0.8728709	-0.1093644	48.911	32.245	-442.042	0.0497611	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554792	1	OK	0.0153149	-0.4733522	-0.8726355	-0.1192077	53.936	35.686	-441.044	0.0711290	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554800	1	OK	0.0101068	-0.4717519	-0.8720497	-0.1299127	59.078	39.255	-440.182	0.0789851	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554808	1	OK	0.0057457	-0.4705115	-0.8711678	-0.1401873	63.997	42.552	-439.061	0.0508433	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554816	1	OK	0.0027059	-0.4684952	-0.8702651	-0.1521302	68.665	46.835	-437.168	0.0620311	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554824	1	OK	0.0012979	0.4669890	0.8696003	0.1603591	74.015	49.905	-435.966	0.1373657	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554832	1	OK	0.0068815	0.4648033	0.8683083	0.1730645	78.482	53.727	-434.399	0.1042502	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554840	1	OK	0.0116277	0.4627433	0.8673129	0.1830348	83.502	57.219	-433.827	0.0987748	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554848	1	OK	0.0155636	0.4604980	0.8658925	0.1947552	87.917	61.133	-432.216	0.0479167	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554856	1	OK	0.0175314	0.4587701	0.8647214	0.2036654	91.488	64.691	-430.444	0.0788350	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554864	1	OK	0.0207009	0.4569005	0.8637709	0.2114552	95.447	68.063	-429.136	0.1069059	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554872	1	OK	0.0255702	0.4550715	0.8619800	0.2219158	99.099	70.986	-427.691	0.0999541	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554880	1	OK	0.0276071	0.4536515	0.8611344	0.2277843	102.255	73.379	-425.372	0.0728538	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554888	1	OK	0.0310459	0.4521013	0.8593729	0.2368939	105.370	76.165	-423.970	0.0527894	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554896	1	OK	0.0315859	0.4504683	0.8581956	0.2440921	108.003	79.406	-422.596	0.0585958	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554904	1	OK	0.0352126	0.4493931	0.8564498	0.2515941	111.117	81.836	-421.265	0.1005232	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554912	1	OK	0.0385395	0.4483599	0.8542336	0.2603324	113.837	84.466	-419.740	0.1342374	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554920	1	OK	0.0401900	0.4472483	0.8523929	0.2679180	116.652	87.060	-417.756	0.0547672	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554928	1	OK	0.0423858	0.4467520	0.8504343	0.2745499	119.328	89.389	-416.617	0.0748126	0
