Tools	Port 1: CAMP trus_head_4m2  s/n:38C3D800	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46167	1	OK	0.9930252	0.1100045	-0.0361938	0.0221354	29.847	44.706	-798.881	0.1522366	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46170	1	OK	0.9930320	0.1099533	-0.0361584	0.0221433	29.847	44.710	-798.905	0.1640890	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46173	1	OK	0.9930226	0.1100846	-0.0360158	0.0221433	29.838	44.711	-798.910	0.1498703	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46176	1	OK	0.9930267	0.1099517	-0.0362852	0.0221804	29.852	44.705	-798.879	0.1521957	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46179	1	OK	0.9930292	0.1100342	-0.0360070	0.0221132	29.839	44.705	-798.894	0.1617136	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46182	1	OK	0.9930278	0.1100064	-0.0360983	0.0221654	29.845	44.709	-798.899	0.1616476	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46185	1	OK	0.9930303	0.1099707	-0.0361247	0.0221853	29.842	44.709	-798.897	0.1692694	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46188	1	OK	0.9930054	0.1101611	-0.0362283	0.0221874	29.844	44.716	-798.884	0.1453254	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46191	1	OK	0.9930282	0.1100350	-0.0360115	0.0221485	29.838	44.709	-798.913	0.1617980	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46194	1	OK	0.9930083	0.1102331	-0.0359956	0.0220816	29.837	44.715	-798.919	0.1425515	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46197	1	OK	0.9929973	0.1103024	-0.0360950	0.0220670	29.840	44.716	-798.903	0.1366800	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46200	1	OK	0.9930257	0.1100328	-0.0360926	0.0221396	29.842	44.710	-798.899	0.1629935	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46203	1	OK	0.9930282	0.1099637	-0.0362012	0.0221917	29.844	44.708	-798.875	0.1495705	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46206	1	OK	0.9930160	0.1101297	-0.0360814	0.0221093	29.842	44.710	-798.885	0.1400254	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46209	1	OK	0.9930293	0.1100561	-0.0359370	0.0221128	29.836	44.712	-798.911	0.1597012	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46212	1	OK	0.9930634	0.1096405	-0.0361812	0.0222492	29.847	44.702	-798.897	0.1783075	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46215	1	OK	0.9930197	0.1100538	-0.0361726	0.0221729	29.844	44.712	-798.893	0.1505130	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46218	1	OK	0.9930221	0.1100605	-0.0360891	0.0221668	29.840	44.712	-798.898	0.1619355	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46221	1	OK	0.9930261	0.1099666	-0.0362455	0.0221988	29.847	44.708	-798.889	0.1641764	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46224	1	OK	0.9930210	0.1101122	-0.0360018	0.0221018	29.837	44.711	-798.906	0.1612798	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46227	1	OK	0.9930151	0.1101052	-0.0361595	0.0221438	29.842	44.713	-798.897	0.1543932	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46230	1	OK	0.9930414	0.1098528	-0.0361814	0.0221815	29.845	44.705	-798.897	0.1561954	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46233	1	OK	0.9930344	0.1099554	-0.0360804	0.0221512	29.838	44.710	-798.917	0.1647078	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46236	1	OK	0.9930230	0.1100203	-0.0361815	0.0221755	29.843	44.711	-798.907	0.1543291	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46239	1	OK	0.9930277	0.1099981	-0.0361367	0.0221472	29.841	44.706	-798.881	0.1489936	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46242	1	OK	0.9930178	0.1100399	-0.0362435	0.0222104	29.845	44.712	-798.871	0.1476182	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46245	1	OK	0.9930167	0.1101569	-0.0359767	0.0221129	29.834	44.711	-798.899	0.1492673	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46248	1	OK	0.9930073	0.1101713	-0.0361630	0.0221580	29.841	44.715	-798.901	0.1437677	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46251	1	OK	0.9930295	0.1099747	-0.0361537	0.0221552	29.843	44.706	-798.891	0.1585182	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46254	1	OK	0.9930399	0.1098282	-0.0362851	0.0221996	29.847	44.705	-798.903	0.1575978	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46257	1	OK	0.9930155	0.1100434	-0.0363043	0.0221979	29.848	44.711	-798.905	0.1621529	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46260	1	OK	0.9930465	0.1098787	-0.0359629	0.0221792	29.838	44.705	-798.891	0.1699183	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46263	1	OK	0.9929904	0.1103699	-0.0360885	0.0220515	29.838	44.716	-798.913	0.1393317	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46266	1	OK	0.9930254	0.1100140	-0.0361488	0.0221541	29.842	44.710	-798.896	0.1590767	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46269	1	OK	0.9930276	0.1099783	-0.0361554	0.0222210	29.842	44.711	-798.906	0.1596697	0
