Tools	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126824	1	OK	0.4170892	-0.2853912	0.5157116	-0.6918309	55.196	-54.051	-281.040	0.1163990	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126832	1	OK	0.4170300	-0.2854057	0.5156947	-0.6918732	55.198	-54.047	-281.038	0.1158771	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126840	1	OK	0.4170525	-0.2853971	0.5157588	-0.6918154	55.181	-54.030	-281.028	0.1162195	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126848	1	OK	0.4170918	-0.2853811	0.5157499	-0.6918049	55.184	-54.041	-281.012	0.1156753	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126856	1	OK	0.4172827	-0.2852520	0.5158293	-0.6916839	55.182	-54.043	-281.002	0.1165159	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126864	1	OK	0.4172658	-0.2852790	0.5158012	-0.6917039	55.187	-54.036	-281.007	0.1157949	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126872	1	OK	0.4172482	-0.2852990	0.5158063	-0.6917025	55.179	-54.025	-280.984	0.1162929	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126880	1	OK	0.4173096	-0.2852630	0.5158273	-0.6916646	55.173	-54.034	-280.960	0.1181550	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126888	1	OK	0.4174148	-0.2851840	0.5158496	-0.6916171	55.179	-54.041	-280.965	0.1186164	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126896	1	OK	0.4173240	-0.2852267	0.5157946	-0.6916953	55.185	-54.044	-280.965	0.1177653	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126904	1	OK	0.4173040	-0.2852312	0.5157549	-0.6917351	55.194	-54.036	-280.945	0.1178162	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126912	1	OK	0.4173928	-0.2851919	0.5157533	-0.6916989	55.193	-54.060	-280.958	0.1179376	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126920	1	OK	0.4173643	-0.2852094	0.5157104	-0.6917409	55.205	-54.075	-280.972	0.1173671	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126928	1	OK	0.4173906	-0.2851732	0.5157313	-0.6917244	55.202	-54.066	-280.979	0.1172934	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126936	1	OK	0.4173119	-0.2852274	0.5156728	-0.6917931	55.209	-54.077	-280.987	0.1169662	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126944	1	OK	0.4173647	-0.2851832	0.5156490	-0.6917972	55.219	-54.090	-280.987	0.1171763	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126952	1	OK	0.4173681	-0.2851820	0.5156403	-0.6918021	55.214	-54.093	-280.992	0.1181688	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126960	1	OK	0.4173277	-0.2851911	0.5155904	-0.6918600	55.237	-54.079	-281.004	0.1171159	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126968	1	OK	0.4173346	-0.2851898	0.5155629	-0.6918768	55.244	-54.093	-281.008	0.1174808	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126976	1	OK	0.4174512	-0.2851228	0.5156108	-0.6917983	55.242	-54.098	-281.017	0.1181435	0
