Tools	Port 1: CAMP trus_head_4m2  s/n:38C3D800	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67083	1	OK	0.9438504	0.2086197	-0.2438513	0.0784910	75.259	9.847	-954.496	0.3416034	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67086	1	OK	0.9440149	0.2092113	-0.2428294	0.0781052	75.923	9.508	-953.803	0.3060067	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67089	1	OK	0.9442752	0.2095246	-0.2418529	0.0771430	76.480	9.455	-952.936	0.3417748	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67092	1	OK	0.9443552	0.2093219	-0.2418043	0.0768654	76.472	9.830	-952.227	0.3321529	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67095	1	OK	0.9439368	0.2104506	-0.2426403	0.0762854	76.181	9.654	-951.795	0.3136605	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67098	1	OK	0.9439737	0.2105017	-0.2426885	0.0755307	75.911	9.613	-951.437	0.3374636	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67101	1	OK	0.9439232	0.2107985	-0.2427015	0.0752923	76.102	9.410	-950.953	0.3345339	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67104	1	OK	0.9439632	0.2115171	-0.2418885	0.0753918	76.648	9.252	-950.524	0.3236861	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67107	1	OK	0.9441273	0.2111247	-0.2414946	0.0756997	77.082	9.547	-950.097	0.3350691	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67110	1	OK	0.9443019	0.2106399	-0.2410854	0.0761751	77.306	10.100	-949.725	0.3292996	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67113	1	OK	0.9444843	0.2107181	-0.2405019	0.0755393	77.014	10.765	-949.641	0.3338789	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67116	1	OK	0.9443221	0.2103460	-0.2414481	0.0755852	76.393	11.318	-949.662	0.3018723	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67119	1	OK	0.9444276	0.2103536	-0.2409241	0.0759167	76.303	11.318	-949.720	0.3318917	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67122	1	OK	0.9443354	0.2107896	-0.2409327	0.0758270	76.214	11.271	-949.784	0.3327481	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67125	1	OK	0.9442162	0.2111969	-0.2411469	0.0754970	75.839	11.368	-949.964	0.3118423	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67128	1	OK	0.9443892	0.2109262	-0.2408371	0.0750777	75.772	12.009	-949.794	0.3152459	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67131	1	OK	0.9447038	0.2097904	-0.2405106	0.0753478	75.974	13.070	-949.538	0.3231510	0
