Tools	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275800	1	OK	0.6562478	0.5825238	0.2891213	-0.3826403	-37.927	-21.436	-401.495	0.0635151	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275808	1	OK	0.6570370	0.5834698	0.2890980	-0.3798522	-37.582	-21.123	-403.109	0.1194048	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275816	1	OK	0.6555939	0.5822064	0.2927646	-0.3814726	-36.897	-20.768	-404.299	0.0758677	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275824	1	OK	0.6563708	0.5830205	0.2923542	-0.3792012	-36.284	-20.269	-404.796	0.1128807	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275832	1	OK	0.6565937	0.5830883	0.2930932	-0.3781390	-36.111	-19.980	-405.643	0.1158191	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275840	1	OK	0.6562671	0.5831462	0.2941829	-0.3777704	-35.564	-19.597	-406.467	0.1061546	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275848	1	OK	0.6553497	0.5830102	0.2947444	-0.3791328	-35.733	-19.169	-407.374	0.0966688	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275856	1	OK	0.6563195	0.5837447	0.2939463	-0.3769382	-35.789	-18.673	-407.573	0.1111375	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275864	1	OK	0.6561596	0.5836099	0.2945317	-0.3769683	-35.741	-18.000	-407.426	0.1241636	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275872	1	OK	0.6559960	0.5825895	0.2961278	-0.3775806	-35.733	-17.447	-407.466	0.0898700	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275880	1	OK	0.6559712	0.5830462	0.2940261	-0.3785597	-36.091	-18.907	-406.131	0.1114786	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275888	1	OK	0.6562336	0.5829982	0.2942600	-0.3779969	-35.840	-18.453	-406.452	0.1070000	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275896	1	OK	0.6566188	0.5830160	0.2941623	-0.3773760	-35.682	-18.025	-406.606	0.1092875	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275904	1	OK	0.6568191	0.5828738	0.2943037	-0.3771367	-35.559	-17.573	-406.667	0.0991205	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275912	1	OK	0.6568238	0.5809659	0.2953792	-0.3792259	-34.586	-15.446	-403.613	0.0679956	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275920	1	OK	0.6586016	0.5795043	0.2957124	-0.3781175	-32.757	-15.841	-401.901	0.0835370	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275928	1	OK	0.6599368	0.5771412	0.2978147	-0.3777537	-30.696	-16.338	-400.624	0.1165497	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275936	1	OK	0.6614193	0.5755892	0.2991299	-0.3764875	-28.361	-16.466	-399.147	0.0995438	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275944	1	OK	0.6619939	0.5747159	0.3006351	-0.3756117	-26.906	-16.371	-398.327	0.1057156	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275952	1	OK	0.6630983	0.5736514	0.3015002	-0.3745963	-25.960	-16.735	-398.684	0.1004839	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275960	1	OK	0.6625889	0.5742239	0.3028690	-0.3735147	-26.127	-16.252	-399.145	0.0877026	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275968	1	OK	0.6622131	0.5750266	0.3037066	-0.3722640	-26.496	-15.474	-400.560	0.0881834	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275976	1	OK	0.6610483	0.5763138	0.3049133	-0.3713563	-27.023	-14.551	-401.575	0.0894706	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275984	1	OK	0.6612738	0.5773157	0.3053719	-0.3690142	-27.413	-14.211	-402.264	0.0909413	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275992	1	OK	0.6592623	0.5740889	0.3082261	-0.3752223	-27.697	-15.509	-401.141	0.1418388	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276000	1	OK	0.6643420	0.5777349	0.3028530	-0.3649002	-26.713	-14.865	-400.632	0.1678219	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276008	1	OK	0.6651176	0.5779065	0.3036080	-0.3625808	-26.360	-14.455	-400.503	0.1440276	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276016	1	OK	0.6675479	0.5784405	0.3024111	-0.3582372	-26.075	-14.332	-400.510	0.1079118	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276024	1	OK	0.6625536	0.5754323	0.3075653	-0.3678369	-26.359	-14.440	-400.876	0.0721495	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276032	1	OK	0.6652514	0.5751458	0.3137859	-0.3580311	-24.035	-12.843	-399.271	0.1217304	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276040	1	OK	0.6661916	0.5750597	0.3151298	-0.3552300	-23.378	-12.647	-398.950	0.1325054	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276048	1	OK	0.6669079	0.5744818	0.3165445	-0.3535592	-23.178	-12.639	-398.280	0.1378082	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276056	1	OK	0.6672563	0.5736881	0.3183914	-0.3525308	-22.702	-12.513	-397.851	0.1194983	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276064	1	OK	0.6683763	0.5732553	0.3199216	-0.3497164	-21.742	-12.372	-397.446	0.0948512	0
