Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11792	1	OK	0.1400452	-0.8523565	-0.2472558	-0.4390219	61.232	22.264	-258.426	0.1268488	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11792	1	OK	0.6938947	-0.5195633	-0.4865173	-0.1089269	41.805	36.953	-253.812	0.1319095	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11800	1	OK	0.1400380	-0.8523752	-0.2472630	-0.4389840	61.226	22.261	-258.432	0.1269640	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11800	1	OK	0.6939330	-0.5195266	-0.4865078	-0.1089005	41.805	36.950	-253.812	0.1314397	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11808	1	OK	0.1399815	-0.8524031	-0.2472238	-0.4389699	61.218	22.258	-258.439	0.1262272	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11808	1	OK	0.6938870	-0.5195907	-0.4865024	-0.1089114	41.807	36.947	-253.812	0.1318828	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11816	1	OK	0.1399574	-0.8523975	-0.2472382	-0.4389804	61.219	22.253	-258.437	0.1273943	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11816	1	OK	0.6938534	-0.5196496	-0.4864858	-0.1089190	41.799	36.942	-253.816	0.1327740	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11824	1	OK	0.1400060	-0.8523707	-0.2472593	-0.4390050	61.222	22.257	-258.423	0.1268550	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11824	1	OK	0.6938159	-0.5196589	-0.4865165	-0.1089764	41.804	36.946	-253.812	0.1328947	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11832	1	OK	0.1400426	-0.8523585	-0.2472916	-0.4389987	61.224	22.258	-258.419	0.1266554	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11832	1	OK	0.6938481	-0.5196051	-0.4865269	-0.1089813	41.806	36.950	-253.815	0.1324582	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11840	1	OK	0.1400802	-0.8523464	-0.2472976	-0.4390069	61.225	22.263	-258.414	0.1257852	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11840	1	OK	0.6939113	-0.5195019	-0.4865418	-0.1090042	41.809	36.961	-253.825	0.1310433	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11848	1	OK	0.1401337	-0.8523503	-0.2473159	-0.4389718	61.222	22.266	-258.420	0.1251792	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11848	1	OK	0.6938900	-0.5194805	-0.4865822	-0.1090613	41.819	36.963	-253.817	0.1305768	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11856	1	OK	0.1401161	-0.8523382	-0.2473244	-0.4389962	61.225	22.264	-258.408	0.1262773	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11856	1	OK	0.6938551	-0.5195054	-0.4866031	-0.1090716	41.822	36.958	-253.813	0.1297452	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11864	1	OK	0.1400941	-0.8523496	-0.2473294	-0.4389783	61.220	22.263	-258.418	0.1272076	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11864	1	OK	0.6938876	-0.5194998	-0.4865721	-0.1090300	41.812	36.957	-253.818	0.1303114	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11872	1	OK	0.1400672	-0.8523559	-0.2473267	-0.4389762	61.218	22.260	-258.410	0.1265332	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11872	1	OK	0.6939094	-0.5195262	-0.4865265	-0.1089691	41.804	36.952	-253.817	0.1313384	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11880	1	OK	0.1400453	-0.8523578	-0.2473167	-0.4389851	61.220	22.257	-258.411	0.1262763	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11880	1	OK	0.6938721	-0.5195553	-0.4865428	-0.1089950	41.803	36.955	-253.813	0.1310372	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11888	1	OK	0.1400907	-0.8523378	-0.2473552	-0.4389878	61.227	22.261	-258.402	0.1265759	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11888	1	OK	0.6938880	-0.5195332	-0.4865460	-0.1089847	41.803	36.954	-253.817	0.1313847	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11896	1	OK	0.1400981	-0.8523365	-0.2473448	-0.4389938	61.226	22.264	-258.403	0.1264276	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11896	1	OK	0.6939023	-0.5194881	-0.4865759	-0.1089751	41.809	36.954	-253.822	0.1305182	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11904	1	OK	0.1401121	-0.8523437	-0.2473613	-0.4389659	61.223	22.260	-258.408	0.1259530	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11904	1	OK	0.6939198	-0.5195122	-0.4865375	-0.1089203	41.804	36.952	-253.821	0.1307524	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11912	1	OK	0.1400906	-0.8523416	-0.2473314	-0.4389937	61.228	22.263	-258.408	0.1255682	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11912	1	OK	0.6939026	-0.5195314	-0.4865429	-0.1089144	41.803	36.951	-253.820	0.1312034	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11920	1	OK	0.1400393	-0.8523546	-0.2473123	-0.4389957	61.228	22.259	-258.404	0.1267638	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11920	1	OK	0.6938500	-0.5196063	-0.4865408	-0.1089009	41.799	36.942	-253.820	0.1325326	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11928	1	OK	0.1399976	-0.8523325	-0.2473142	-0.4390509	61.237	22.252	-258.387	0.1269747	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11928	1	OK	0.6938396	-0.5196560	-0.4865068	-0.1088827	41.793	36.938	-253.822	0.1334017	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11936	1	OK	0.1400152	-0.8523625	-0.2472989	-0.4389956	61.229	22.254	-258.390	0.1272645	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11936	1	OK	0.6938993	-0.5196377	-0.4864576	-0.1088088	41.787	36.934	-253.834	0.1336974	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11944	1	OK	0.1400108	-0.8523489	-0.2472841	-0.4390318	61.234	22.255	-258.392	0.1264949	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11944	1	OK	0.6938341	-0.5196541	-0.4865172	-0.1088799	41.800	36.938	-253.828	0.1331024	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11952	1	OK	0.1400334	-0.8523500	-0.2472960	-0.4390158	61.233	22.254	-258.392	0.1275459	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11952	1	OK	0.6937573	-0.5196926	-0.4865701	-0.1089494	41.809	36.938	-253.824	0.1327178	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11960	1	OK	0.1400305	-0.8523361	-0.2473133	-0.4390338	61.236	22.253	-258.405	0.1267690	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11960	1	OK	0.6937252	-0.5197415	-0.4865656	-0.1089408	41.813	36.930	-253.821	0.1330819	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11968	1	OK	0.1399840	-0.8523309	-0.2472732	-0.4390814	61.238	22.250	-258.395	0.1271090	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11968	1	OK	0.6937268	-0.5197413	-0.4865668	-0.1089260	41.812	36.927	-253.817	0.1323562	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11976	1	OK	0.1399297	-0.8523449	-0.2472647	-0.4390764	61.236	22.247	-258.399	0.1266115	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11976	1	OK	0.6937267	-0.5197370	-0.4865706	-0.1089302	41.815	36.927	-253.810	0.1327551	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11984	1	OK	0.1399385	-0.8523367	-0.2472760	-0.4390830	61.243	22.247	-258.403	0.1263906	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11984	1	OK	0.6937516	-0.5197014	-0.4865729	-0.1089313	41.814	36.928	-253.823	0.1324069	0
